attack_type,source_ip,time_slot_second,packet_count,threshold,ratio,severity,detection_time
SYN_FLOOD,172.16.0.50,5,267,100,2.67,MEDIUM,2026-05-13 14:00:03
SYN_FLOOD,172.16.0.51,5,200,100,2.0,MEDIUM,2026-05-13 14:00:03
SYN_FLOOD,172.16.0.51,6,200,100,2.0,MEDIUM,2026-05-13 14:00:03
SYN_FLOOD,172.16.0.50,6,267,100,2.67,MEDIUM,2026-05-13 14:00:03
SYN_FLOOD,172.16.0.50,7,266,100,2.66,MEDIUM,2026-05-13 14:00:03
UDP_FLOOD,172.16.0.100,10,400,200,2.0,MEDIUM,2026-05-13 14:00:03
UDP_FLOOD,172.16.0.100,11,400,200,2.0,MEDIUM,2026-05-13 14:00:03
UDP_FLOOD,172.16.0.100,12,400,200,2.0,MEDIUM,2026-05-13 14:00:03
ICMP_FLOOD,172.16.0.200,15,134,50,2.68,MEDIUM,2026-05-13 14:00:03
ICMP_FLOOD,172.16.0.200,16,133,50,2.66,MEDIUM,2026-05-13 14:00:03
ICMP_FLOOD,172.16.0.200,17,133,50,2.66,MEDIUM,2026-05-13 14:00:03
HTTP_FLOOD,172.16.0.150,20,167,50,3.34,MEDIUM,2026-05-13 14:00:03
HTTP_FLOOD,172.16.0.150,21,167,50,3.34,MEDIUM,2026-05-13 14:00:03
HTTP_FLOOD,172.16.0.150,22,166,50,3.32,MEDIUM,2026-05-13 14:00:03
SYN_FLOOD,172.16.0.51,7,100,100,1.0,LOW,2026-05-13 14:00:03
